id,REF_1,REF_10,REF_11,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_Heizungstausch,REF_Thermische_Sanierung,REF_Year,REF_COUNT
236,0,1,,0,0,0,1,0,1,1,1,1,0,2023,5
237,0,1,1,0,0,0,1,1,1,1,1,1,0,2022,7
238,0,1,1,0,0,0,1,0,0,1,1,1,0,2023,5
239,0,0,0,0,0,0,1,0,0,1,1,1,0,2023,3
240,0,0,0,0,0,0,1,1,0,1,1,1,0,2023,4
241,0,0,,0,0,0,1,1,1,1,0,1,0,2018,4
242,0,0,0,0,0,0,1,1,0,1,0,1,0,2021,3
243,1,0,0,1,1,1,0,0,1,0,0,0,1,2022,5
244,1,0,,1,1,1,0,0,0,1,0,0,1,2021,5
245,0,0,,1,1,1,0,1,1,1,1,0,1,2022,7
246,1,0,,1,0,1,0,0,0,0,0,0,1,2020,3
247,0,1,1,0,0,1,0,0,0,1,0,0,1,2017,4
248,0,0,,1,0,1,0,0,1,0,0,0,1,2021,3
249,1,1,,0,0,0,0,0,1,1,0,0,1,2021,4
250,1,0,,1,1,0,0,0,1,1,1,0,1,,6
251,1,0,,1,0,0,0,0,1,1,0,0,1,2013,4
252,0,0,,1,0,1,0,0,1,1,1,0,1,2018,5
253,1,0,1,1,0,1,0,0,1,1,0,0,1,2011,6
254,0,0,,0,0,1,0,0,1,0,0,0,1,vor 2010,2
255,0,0,1,0,0,1,0,0,1,1,1,0,1,2023,5
256,1,0,0,0,0,1,0,0,1,1,1,0,1,2017,5
257,0,0,,1,0,0,0,0,1,0,0,0,1,2013,2
258,0,0,0,1,0,0,0,0,1,0,0,0,1,2012,2
259,1,0,0,0,0,1,0,0,1,1,0,0,1,vor 2010,4
260,1,0,,1,1,0,0,0,1,1,1,0,1,vor 2010,6
261,1,1,,0,0,1,0,0,1,1,1,0,1,2022,6
262,0,0,0,1,1,1,0,1,1,1,1,0,1,2022,7
263,,,,,,,,,,,,0,0,,0
264,,,,,,,,,,,,0,0,,0
265,,,,,,,,,,,,0,0,,0
266,,,,,,,,,,,,0,0,,0
267,,,,,,,,,,,,0,0,,0
268,,,,,,,,,,,,0,0,,0
269,,,,,,,,,,,,0,0,,0
270,,,,,,,,,,,,0,0,,0
271,,,,,,,,,,,,0,0,,0
272,,,,,,,,,,,,0,0,,0
273,,,,,,,,,,,,0,0,,0
274,,,,,,,,,,,,0,0,,0
275,,,,,,,,,,,,0,0,,0
276,,,,,,,,,,,,0,0,,0
277,,,,,,,,,,,,0,0,,0
278,,,,,,,,,,,,0,0,,0
279,,,,,,,,,,,,0,0,,0
280,,,,,,,,,,,,0,0,,0
281,,,,,,,,,,,,0,0,,0
282,,,,,,,,,,,,0,0,,0
